country_code,region,NY.GDP.PCAP.CD,SP.POP.TOTL,SE.ADT.LITR.ZS,SE.XPD.TOTL.GD.ZS,SE.SEC.NENR.MA,SE.SEC.NENR.FE
CSS,Aggregates,10083.9648675967,7222206,91.4435577392578,5.45577001571655,69.71525,75.81048
OSS,Aggregates,12807.9061275788,28948869,84.6923217773438,NA,53.47785,53.25687
SAU,Middle East & North Africa,20627.9327823422,31717667,NA,NA,NA,NA
SLB,East Asia & Pacific,2167.17382619953,603118,NA,NA,NA,NA
SYC,Sub-Saharan Africa,14745.3414620288,93419,NA,NA,76.10429,80.37404
SDN,Sub-Saharan Africa,1909.73875450207,38902950,NA,NA,NA,NA
SWE,Europe & Central Asia,51545.4836095322,9799186,NA,7.4439001083374,99.80837,99.46348
SGP,East Asia & Pacific,55646.6187469505,5535002,96.8254928588867,NA,NA,NA
SVN,Europe & Central Asia,20881.7669299329,2063531,NA,4.90953016281128,95.57218,97.34698
SVK,Europe & Central Asia,16310.9884090005,5423801,NA,4.59954023361206,84.20145,85.34023
SLE,Sub-Saharan Africa,588.228452702849,7171914,NA,NA,33.67393,31.34342
SMR,Europe & Central Asia,42660.3381585202,33272,NA,NA,NA,NA
SEN,Sub-Saharan Africa,1219.24866243037,14578459,NA,5.45637989044189,NA,NA
SOM,Sub-Saharan Africa,NA,13797201,NA,NA,NA,NA
SUR,Latin America & Caribbean,8562.08136860759,559136,NA,NA,52.04255,63.96008
SSD,Sub-Saharan Africa,1119.65133267823,10715658,NA,1.46555995941162,6.45559,4.49366
STP,Sub-Saharan Africa,1584.82776026425,199432,NA,3.86450004577637,61.7004,68.83567
SLV,Latin America & Caribbean,3705.57794598177,6325124,87.9698486328125,3.90987992286682,64.21188,66.13285
SXM,Latin America & Caribbean,32274.8905524359,38825,NA,NA,NA,NA
SYR,Middle East & North Africa,NA,17997408,NA,NA,NA,NA
SWZ,Sub-Saharan Africa,3679.79979948884,1104044,NA,NA,36.35775,47.09057
TLA,Aggregates,8742.37300032624,606271969,92.9957962036133,4.93700504302979,74.98294,78.38621
TMN,Aggregates,3964.47537755026,359705458,76.4035415649414,NA,70.81903,65.66358
TEA,Aggregates,6591.78025630437,2012980531,95.3528671264648,NA,76.61732,80.36012
TSA,Aggregates,1541.80369867426,1749417068,69.6573486328125,2.95290994644165,58.35437,58.25063
TSS,Aggregates,1669.49676403401,995458478,63.5493583679199,4.14809000492096,36.66622,32.91653
TEC,Aggregates,8007.28501261297,452301305,98.8642425537109,3.81152498722077,89.48397,89.02745
TCA,Latin America & Caribbean,26182.4296156305,35981,NA,3.15744996070862,NA,NA
TCD,Sub-Saharan Africa,776.019532308037,14110975,26.0029907226563,NA,24.85191,11.97697
TGO,Sub-Saharan Africa,570.910279013434,7323158,63.7456207275391,5.10860013961792,NA,NA
THA,East Asia & Pacific,5840.04652294326,68714511,92.8683090209961,NA,77.01047,77.54404
TJK,Europe & Central Asia,929.095857223746,8454028,NA,5.23138999938965,NA,NA
TLS,East Asia & Pacific,1332.7828591777,1196302,NA,8.43325996398926,49.55128,55.82333
TKM,Europe & Central Asia,6432.68070195019,5565287,NA,NA,NA,NA
TUN,Middle East & North Africa,3861.68853113497,11179949,NA,6.59601020812988,NA,NA
TON,East Asia & Pacific,4336.19657636639,100781,NA,NA,80.56171,83.70213
TUR,Europe & Central Asia,11006.2497363978,78529409,95.6014175415039,NA,87.47381,85.78301
TTO,Latin America & Caribbean,18289.704340369,1370328,NA,NA,NA,NA
TUV,East Asia & Pacific,3197.77225194394,11099,NA,NA,62.48432,77.3386
TZA,Sub-Saharan Africa,947.933446487903,51482633,77.8872299194336,NA,NA,NA
UKR,Europe & Central Asia,2124.6623187838,45154036,NA,NA,NA,NA
